conv_id,turn_id,num_unique_titles,num_retrieved_documents
hobby_level3_dial26,1,56,100
hobby_level3_dial26,2,22,100
hobby_level3_dial26,3,44,100
hobby_level3_dial26,4,14,100
hobby_level3_dial26,5,44,100
hobby_level3_dial26,6,19,100
top25_dial35,1,44,100
top25_dial35,2,62,100
top25_dial35,3,36,100
top25_dial35,4,41,100
top25_dial35,5,49,100
food_level1_dial8,1,38,100
food_level1_dial8,2,31,100
food_level1_dial8,3,34,100
food_level1_dial8,4,25,100
food_level1_dial8,5,46,100
food_level1_dial8,6,37,100
food_level3_dial9,1,33,100
food_level3_dial9,2,28,100
food_level3_dial9,3,42,100
food_level3_dial9,4,36,100
food_level3_dial9,5,29,100
food_level3_dial9,6,34,100
